ADC : 80       A: 7F X: 00 Y: 00 PC: C980 S: FB 
BNE : 09       A: 00 X: 00 Y: 00 PC: C982 S: FB 
BMI : 07       A: 00 X: 00 Y: 00 PC: C984 S: FB 
BVS : 05       A: 00 X: 00 Y: 00 PC: C986 S: FB 
BCC : 03       A: 00 X: 00 Y: 00 PC: C988 S: FB 
JMP : 91 C9    A: 00 X: 00 Y: 00 PC: C98A S: FB 
NOP :          A: 00 X: 00 Y: 00 PC: C991 S: FB 
SEC :          A: 00 X: 00 Y: 00 PC: C992 S: FB 
CLV :          A: 00 X: 00 Y: 00 PC: C993 S: FB 
LDA : 9F       A: 00 X: 00 Y: 00 PC: C994 S: FB 
BEQ : 09       A: 9F X: 00 Y: 00 PC: C996 S: FB 
BPL : 07       A: 9F X: 00 Y: 00 PC: C998 S: FB 
BVS : 05       A: 9F X: 00 Y: 00 PC: C99A S: FB 
BCC : 03       A: 9F X: 00 Y: 00 PC: C99C S: FB 
JMP : A5 C9    A: 9F X: 00 Y: 00 PC: C99E S: FB 
NOP :          A: 9F X: 00 Y: 00 PC: C9A5 S: FB 
CLC :          A: 9F X: 00 Y: 00 PC: C9A6 S: FB 
BIT : 01       A: 9F X: 00 Y: 00 PC: C9A7 S: FB 
LDA : 00       A: 9F X: 00 Y: 00 PC: C9A9 S: FB 
BNE : 09       A: 00 X: 00 Y: 00 PC: C9AB S: FB 
BMI : 07       A: 00 X: 00 Y: 00 PC: C9AD S: FB 
BVC : 05       A: 00 X: 00 Y: 00 PC: C9AF S: FB 
BCS : 03       A: 00 X: 00 Y: 00 PC: C9B1 S: FB 
JMP : BA C9    A: 00 X: 00 Y: 00 PC: C9B3 S: FB 
NOP :          A: 00 X: 00 Y: 00 PC: C9BA S: FB 
BIT : 01       A: 00 X: 00 Y: 00 PC: C9BB S: FB 
LDA : 40       A: 00 X: 00 Y: 00 PC: C9BD S: FB 
CMP : 40       A: 40 X: 00 Y: 00 PC: C9BF S: FB 
BMI : 09       A: 40 X: 00 Y: 00 PC: C9C1 S: FB 
BCC : 07       A: 40 X: 00 Y: 00 PC: C9C3 S: FB 
BNE : 05       A: 40 X: 00 Y: 00 PC: C9C5 S: FB 
BVC : 03       A: 40 X: 00 Y: 00 PC: C9C7 S: FB 
JMP : D0 C9    A: 40 X: 00 Y: 00 PC: C9C9 S: FB 
NOP :          A: 40 X: 00 Y: 00 PC: C9D0 S: FB 
CLV :          A: 40 X: 00 Y: 00 PC: C9D1 S: FB 
CMP : 3F       A: 40 X: 00 Y: 00 PC: C9D2 S: FB 
BEQ : 09       A: 40 X: 00 Y: 00 PC: C9D4 S: FB 
BMI : 07       A: 40 X: 00 Y: 00 PC: C9D6 S: FB 
BCC : 05       A: 40 X: 00 Y: 00 PC: C9D8 S: FB 
BVS : 03       A: 40 X: 00 Y: 00 PC: C9DA S: FB 
JMP : E3 C9    A: 40 X: 00 Y: 00 PC: C9DC S: FB 
NOP :          A: 40 X: 00 Y: 00 PC: C9E3 S: FB 
CMP : 41       A: 40 X: 00 Y: 00 PC: C9E4 S: FB 
BEQ : 07       A: 40 X: 00 Y: 00 PC: C9E6 S: FB 
BPL : 05       A: 40 X: 00 Y: 00 PC: C9E8 S: FB 
BPL : 03       A: 40 X: 00 Y: 00 PC: C9EA S: FB 
JMP : F3 C9    A: 40 X: 00 Y: 00 PC: C9EC S: FB 
NOP :          A: 40 X: 00 Y: 00 PC: C9F3 S: FB 
LDA : 80       A: 40 X: 00 Y: 00 PC: C9F4 S: FB 
CMP : 00       A: 80 X: 00 Y: 00 PC: C9F6 S: FB 
BEQ : 07       A: 80 X: 00 Y: 00 PC: C9F8 S: FB 
BPL : 05       A: 80 X: 00 Y: 00 PC: C9FA S: FB 
BCC : 03       A: 80 X: 00 Y: 00 PC: C9FC S: FB 
JMP : 05 CA    A: 80 X: 00 Y: 00 PC: C9FE S: FB 
NOP :          A: 80 X: 00 Y: 00 PC: CA05 S: FB 
CMP : 80       A: 80 X: 00 Y: 00 PC: CA06 S: FB 
BNE : 07       A: 80 X: 00 Y: 00 PC: CA08 S: FB 
BMI : 05       A: 80 X: 00 Y: 00 PC: CA0A S: FB 
