NOP :          A: 00 X: 00 Y: 00 PC: C916 S: FB Cycle: 190 
CLC :          A: 00 X: 00 Y: 00 PC: C917 S: FB Cycle: 196 
BIT : 01       A: 00 X: 00 Y: 00 PC: C918 S: FB Cycle: 202 
LDA : 00       A: 00 X: 00 Y: 00 PC: C91A S: FB Cycle: 211 
ADC : 69       A: 00 X: 00 Y: 00 PC: C91C S: FB Cycle: 217 
BMI : 0B       A: 69 X: 00 Y: 00 PC: C91E S: FB Cycle: 223 
BCS : 09       A: 69 X: 00 Y: 00 PC: C920 S: FB Cycle: 229 
CMP : 69       A: 69 X: 00 Y: 00 PC: C922 S: FB Cycle: 235 
BNE : 05       A: 69 X: 00 Y: 00 PC: C924 S: FB Cycle: 241 
BVS : 03       A: 69 X: 00 Y: 00 PC: C926 S: FB Cycle: 247 
JMP : 2F C9    A: 69 X: 00 Y: 00 PC: C928 S: FB Cycle: 253 
NOP :          A: 69 X: 00 Y: 00 PC: C92F S: FB Cycle: 262 
SEC :          A: 69 X: 00 Y: 00 PC: C930 S: FB Cycle: 268 
SED :          A: 69 X: 00 Y: 00 PC: C931 S: FB Cycle: 274 
BIT : 01       A: 69 X: 00 Y: 00 PC: C932 S: FB Cycle: 280 
LDA : 01       A: 69 X: 00 Y: 00 PC: C934 S: FB Cycle: 289 
ADC : 69       A: 01 X: 00 Y: 00 PC: C936 S: FB Cycle: 295 
BMI : 0B       A: 6B X: 00 Y: 00 PC: C938 S: FB Cycle: 301 
BCS : 09       A: 6B X: 00 Y: 00 PC: C93A S: FB Cycle: 307 
CMP : 6B       A: 6B X: 00 Y: 00 PC: C93C S: FB Cycle: 313 
BNE : 05       A: 6B X: 00 Y: 00 PC: C93E S: FB Cycle: 319 
BVS : 03       A: 6B X: 00 Y: 00 PC: C940 S: FB Cycle: 325 
JMP : 49 C9    A: 6B X: 00 Y: 00 PC: C942 S: FB Cycle: 331 
NOP :          A: 6B X: 00 Y: 00 PC: C949 S: FB Cycle: 340 
CLD :          A: 6B X: 00 Y: 00 PC: C94A S: FB Cycle: 5 
SEC :          A: 6B X: 00 Y: 00 PC: C94B S: FB Cycle: 11 
CLV :          A: 6B X: 00 Y: 00 PC: C94C S: FB Cycle: 17 
LDA : 7F       A: 6B X: 00 Y: 00 PC: C94D S: FB Cycle: 23 
ADC : 7F       A: 7F X: 00 Y: 00 PC: C94F S: FB Cycle: 29 
BPL : 0B       A: FF X: 00 Y: 00 PC: C951 S: FB Cycle: 35 
BCS : 09       A: FF X: 00 Y: 00 PC: C953 S: FB Cycle: 41 
CMP : FF       A: FF X: 00 Y: 00 PC: C955 S: FB Cycle: 47 
BNE : 05       A: FF X: 00 Y: 00 PC: C957 S: FB Cycle: 53 
BVC : 03       A: FF X: 00 Y: 00 PC: C959 S: FB Cycle: 59 
JMP : 62 C9    A: FF X: 00 Y: 00 PC: C95B S: FB Cycle: 65 
NOP :          A: FF X: 00 Y: 00 PC: C962 S: FB Cycle: 74 
CLC :          A: FF X: 00 Y: 00 PC: C963 S: FB Cycle: 80 
BIT : 01       A: FF X: 00 Y: 00 PC: C964 S: FB Cycle: 86 
LDA : 7F       A: FF X: 00 Y: 00 PC: C966 S: FB Cycle: 95 
ADC : 80       A: 7F X: 00 Y: 00 PC: C968 S: FB Cycle: 101 
BPL : 0B       A: FF X: 00 Y: 00 PC: C96A S: FB Cycle: 107 
BCS : 09       A: FF X: 00 Y: 00 PC: C96C S: FB Cycle: 113 
CMP : FF       A: FF X: 00 Y: 00 PC: C96E S: FB Cycle: 119 
BNE : 05       A: FF X: 00 Y: 00 PC: C970 S: FB Cycle: 125 
BVS : 03       A: FF X: 00 Y: 00 PC: C972 S: FB Cycle: 131 
JMP : 7B C9    A: FF X: 00 Y: 00 PC: C974 S: FB Cycle: 137 
NOP :          A: FF X: 00 Y: 00 PC: C97B S: FB Cycle: 146 
SEC :          A: FF X: 00 Y: 00 PC: C97C S: FB Cycle: 152 
CLV :          A: FF X: 00 Y: 00 PC: C97D S: FB Cycle: 158 
LDA : 7F       A: FF X: 00 Y: 00 PC: C97E S: FB Cycle: 164 
ADC : 80       A: 7F X: 00 Y: 00 PC: C980 S: FB Cycle: 170 
BNE : 09       A: 00 X: 00 Y: 00 PC: C982 S: FB Cycle: 176 
BMI : 07       A: 00 X: 00 Y: 00 PC: C984 S: FB Cycle: 182 
BVS : 05       A: 00 X: 00 Y: 00 PC: C986 S: FB Cycle: 188 
BCC : 03       A: 00 X: 00 Y: 00 PC: C988 S: FB Cycle: 194 
JMP : 91 C9    A: 00 X: 00 Y: 00 PC: C98A S: FB Cycle: 200 
NOP :          A: 00 X: 00 Y: 00 PC: C991 S: FB Cycle: 209 
SEC :          A: 00 X: 00 Y: 00 PC: C992 S: FB Cycle: 215 
CLV :          A: 00 X: 00 Y: 00 PC: C993 S: FB Cycle: 221 
LDA : 9F       A: 00 X: 00 Y: 00 PC: C994 S: FB Cycle: 227 
BEQ : 09       A: 9F X: 00 Y: 00 PC: C996 S: FB Cycle: 233 
BPL : 07       A: 9F X: 00 Y: 00 PC: C998 S: FB Cycle: 239 
BVS : 05       A: 9F X: 00 Y: 00 PC: C99A S: FB Cycle: 245 
BCC : 03       A: 9F X: 00 Y: 00 PC: C99C S: FB Cycle: 251 
JMP : A5 C9    A: 9F X: 00 Y: 00 PC: C99E S: FB Cycle: 257 
NOP :          A: 9F X: 00 Y: 00 PC: C9A5 S: FB Cycle: 266 
CLC :          A: 9F X: 00 Y: 00 PC: C9A6 S: FB Cycle: 272 
BIT : 01       A: 9F X: 00 Y: 00 PC: C9A7 S: FB Cycle: 278 
LDA : 00       A: 9F X: 00 Y: 00 PC: C9A9 S: FB Cycle: 287 
BNE : 09       A: 00 X: 00 Y: 00 PC: C9AB S: FB Cycle: 293 
BMI : 07       A: 00 X: 00 Y: 00 PC: C9AD S: FB Cycle: 299 
BVC : 05       A: 00 X: 00 Y: 00 PC: C9AF S: FB Cycle: 305 
BCS : 03       A: 00 X: 00 Y: 00 PC: C9B1 S: FB Cycle: 311 
JMP : BA C9    A: 00 X: 00 Y: 00 PC: C9B3 S: FB Cycle: 317 
NOP :          A: 00 X: 00 Y: 00 PC: C9BA S: FB Cycle: 326 
BIT : 01       A: 00 X: 00 Y: 00 PC: C9BB S: FB Cycle: 332 
LDA : 40       A: 00 X: 00 Y: 00 PC: C9BD S: FB Cycle: 0 
CMP : 40       A: 40 X: 00 Y: 00 PC: C9BF S: FB Cycle: 6 
BMI : 09       A: 40 X: 00 Y: 00 PC: C9C1 S: FB Cycle: 12 
BCC : 07       A: 40 X: 00 Y: 00 PC: C9C3 S: FB Cycle: 18 
BNE : 05       A: 40 X: 00 Y: 00 PC: C9C5 S: FB Cycle: 24 
BVC : 03       A: 40 X: 00 Y: 00 PC: C9C7 S: FB Cycle: 30 
JMP : D0 C9    A: 40 X: 00 Y: 00 PC: C9C9 S: FB Cycle: 36 
NOP :          A: 40 X: 00 Y: 00 PC: C9D0 S: FB Cycle: 45 
CLV :          A: 40 X: 00 Y: 00 PC: C9D1 S: FB Cycle: 51 
CMP : 3F       A: 40 X: 00 Y: 00 PC: C9D2 S: FB Cycle: 57 
BEQ : 09       A: 40 X: 00 Y: 00 PC: C9D4 S: FB Cycle: 63 
BMI : 07       A: 40 X: 00 Y: 00 PC: C9D6 S: FB Cycle: 69 
BCC : 05       A: 40 X: 00 Y: 00 PC: C9D8 S: FB Cycle: 75 
BVS : 03       A: 40 X: 00 Y: 00 PC: C9DA S: FB Cycle: 81 
JMP : E3 C9    A: 40 X: 00 Y: 00 PC: C9DC S: FB Cycle: 87 
NOP :          A: 40 X: 00 Y: 00 PC: C9E3 S: FB Cycle: 96 
CMP : 41       A: 40 X: 00 Y: 00 PC: C9E4 S: FB Cycle: 102 
BEQ : 07       A: 40 X: 00 Y: 00 PC: C9E6 S: FB Cycle: 108 
BPL : 05       A: 40 X: 00 Y: 00 PC: C9E8 S: FB Cycle: 114 
BPL : 03       A: 40 X: 00 Y: 00 PC: C9EA S: FB Cycle: 120 
JMP : F3 C9    A: 40 X: 00 Y: 00 PC: C9EC S: FB Cycle: 126 
NOP :          A: 40 X: 00 Y: 00 PC: C9F3 S: FB Cycle: 135 
LDA : 80       A: 40 X: 00 Y: 00 PC: C9F4 S: FB Cycle: 141 
CMP : 00       A: 80 X: 00 Y: 00 PC: C9F6 S: FB Cycle: 147 
BEQ : 07       A: 80 X: 00 Y: 00 PC: C9F8 S: FB Cycle: 153 
BPL : 05       A: 80 X: 00 Y: 00 PC: C9FA S: FB Cycle: 159 
BCC : 03       A: 80 X: 00 Y: 00 PC: C9FC S: FB Cycle: 165 
JMP : 05 CA    A: 80 X: 00 Y: 00 PC: C9FE S: FB Cycle: 171 
NOP :          A: 80 X: 00 Y: 00 PC: CA05 S: FB Cycle: 180 
CMP : 80       A: 80 X: 00 Y: 00 PC: CA06 S: FB Cycle: 186 
BNE : 07       A: 80 X: 00 Y: 00 PC: CA08 S: FB Cycle: 192 
BMI : 05       A: 80 X: 00 Y: 00 PC: CA0A S: FB Cycle: 198 
BCC : 03       A: 80 X: 00 Y: 00 PC: CA0C S: FB Cycle: 204 
JMP : 15 CA    A: 80 X: 00 Y: 00 PC: CA0E S: FB Cycle: 210 
NOP :          A: 80 X: 00 Y: 00 PC: CA15 S: FB Cycle: 219 
CMP : 81       A: 80 X: 00 Y: 00 PC: CA16 S: FB Cycle: 225 
BCS : 07       A: 80 X: 00 Y: 00 PC: CA18 S: FB Cycle: 231 
BEQ : 05       A: 80 X: 00 Y: 00 PC: CA1A S: FB Cycle: 237 
BPL : 03       A: 80 X: 00 Y: 00 PC: CA1C S: FB Cycle: 243 
JMP : 25 CA    A: 80 X: 00 Y: 00 PC: CA1E S: FB Cycle: 249 
NOP :          A: 80 X: 00 Y: 00 PC: CA25 S: FB Cycle: 258 
CMP : 7F       A: 80 X: 00 Y: 00 PC: CA26 S: FB Cycle: 264 
